iter	Passed	Remaining
0	334	166823
1	491	122330
2	657	108978
3	802	99535
4	963	95392
5	1126	92711
6	1292	91017
7	1462	89948
8	1673	91311
9	1825	89457
10	1976	87848
11	2131	86689
12	2293	85936
13	2462	85496
14	2629	85021
15	2805	84873
16	2974	84499
17	3149	84342
18	3321	84076
19	3508	84215
20	3677	83889
21	3844	83526
22	4009	83152
23	4168	82672
24	4324	82160
25	4473	81557
26	4634	81185
27	4785	80674
28	4934	80142
29	5081	79610
30	5256	79521
31	5466	79946
32	5629	79659
33	5796	79444
34	5965	79251
35	6120	78888
36	6278	78560
37	6427	78149
38	6577	77745
39	6733	77439
40	6903	77287
41	7045	76824
42	7210	76634
43	7365	76331
44	7529	76127
45	7673	75735
46	7824	75413
47	7974	75093
48	8125	74786
49	8265	74389
50	8460	74488
51	8610	74185
52	8760	73883
53	8933	73783
54	9092	73569
55	9248	73328
56	9390	72979
57	9541	72715
58	9706	72548
59	9849	72227
60	9998	71953
61	10137	71613
62	10265	71207
63	10419	70985
64	10550	70610
65	10701	70369
66	10843	70081
67	11001	69891
68	11164	69739
69	11306	69454
70	11452	69201
71	11592	68913
72	11751	68737
73	11888	68442
74	12050	68283
75	12199	68062
76	12346	67826
77	12517	67723
78	12673	67540
79	12836	67389
80	12976	67125
81	13126	66914
82	13274	66691
83	13417	66448
84	13553	66174
85	13687	65888
86	13837	65689
87	13993	65513
88	14194	65550
89	14331	65289
90	14456	64975
91	14595	64729
92	14750	64554
93	14899	64354
94	15024	64051
95	15164	63816
96	15317	63639
97	15446	63360
98	15584	63124
99	15735	62940
100	15888	62767
101	16032	62557
102	16180	62364
103	16322	62150
104	16511	62115
105	16656	61910
106	16816	61766
107	16965	61580
108	17125	61430
109	17279	61261
110	17437	61110
111	17583	60914
112	17701	60622
113	17837	60395
114	17966	60149
115	18116	59972
116	18275	59823
117	18421	59635
118	18562	59430
119	18713	59258
120	18859	59072
121	19053	59033
122	19188	58812
123	19329	58612
124	19491	58475
125	19641	58300
126	19788	58119
127	19943	57961
128	20071	57724
129	20215	57535
130	20371	57382
131	20539	57262
132	20671	57040
133	20806	56829
134	20958	56664
135	21110	56501
136	21262	56337
137	21401	56140
138	21555	55982
139	21689	55773
140	21870	55684
141	21996	55457
142	22139	55271
143	22273	55064
144	22417	54883
145	22547	54669
146	22692	54493
147	22829	54297
148	22983	54142
149	23128	53966
150	23265	53771
151	23409	53595
152	23559	53431
153	23721	53296
154	23857	53102
155	24007	52940
156	24155	52773
157	24293	52584
158	24450	52437
159	24644	52369
160	24793	52204
161	24955	52067
162	25084	51862
163	25244	51720
164	25389	51547
165	25521	51350
166	25674	51194
167	25834	51053
168	25962	50850
169	26113	50690
170	26262	50528
171	26397	50338
172	26541	50168
173	26690	50005
174	26819	49807
175	26957	49626
176	27100	49453
177	27236	49271
178	27432	49195
179	27577	49026
180	27706	48830
181	27836	48637
182	27975	48460
183	28134	48317
184	28281	48154
185	28424	47985
186	28566	47815
187	28711	47649
188	28839	47455
189	28999	47315
190	29148	47156
191	29301	47004
192	29435	46822
193	29590	46672
194	29726	46495
195	29875	46336
196	30033	46193
197	30178	46030
198	30374	45943
199	30521	45781
200	30683	45643
201	30827	45478
202	30989	45339
203	31138	45180
204	31298	45039
205	31443	44875
206	31572	44690
207	31731	44545
208	31861	44362
209	32026	44226
210	32157	44044
211	32320	43906
212	32473	43756
213	32617	43591
214	32779	43451
215	32929	43296
216	33082	43145
217	33238	42996
218	33382	42833
219	33536	42683
220	33676	42515
221	33830	42364
222	33992	42223
223	34136	42061
224	34268	41883
225	34415	41725
226	34564	41569
227	34705	41403
228	34847	41238
229	34975	41058
230	35164	40949
231	35319	40799
232	35460	40635
233	35606	40475
234	35754	40318
235	35922	40184
236	36070	40027
237	36223	39875
238	36382	39731
239	36518	39562
240	36657	39395
241	36803	39236
242	36943	39071
243	37088	38912
244	37224	38743
245	37386	38602
246	37524	38436
247	37684	38292
248	37842	38146
249	38003	38003
250	38140	37836
251	38313	37704
252	38470	37558
253	38620	37404
254	38752	37233
255	38905	37081
256	39017	36892
257	39161	36732
258	39312	36580
259	39448	36414
260	39593	36256
261	39744	36103
262	39871	35930
263	40013	35769
264	40134	35591
265	40277	35431
266	40418	35271
267	40597	35144
268	40750	34994
269	40892	34834
270	41029	34670
271	41168	34509
272	41341	34375
273	41508	34237
274	41645	34073
275	41766	33897
276	41918	33746
277	42055	33583
278	42186	33416
279	42330	33259
280	42478	33106
281	42627	32953
282	42759	32787
283	42902	32630
284	43028	32459
285	43168	32301
286	43320	32150
287	43460	31991
288	43607	31838
289	43740	31674
290	43897	31527
291	44028	31363
292	44210	31234
293	44365	31086
294	44501	30924
295	44626	30755
296	44765	30597
297	44919	30448
298	45052	30285
299	45199	30132
300	45341	29976
301	45500	29831
302	45622	29662
303	45752	29498
304	45901	29346
305	46018	29174
306	46167	29023
307	46308	28867
308	46432	28700
309	46645	28589
310	46817	28451
311	46957	28294
312	47087	28131
313	47224	27973
314	47388	27831
315	47528	27674
316	47674	27522
317	47835	27377
318	47974	27220
319	48117	27066
320	48253	26907
321	48380	26744
322	48520	26588
323	48661	26433
324	48861	26310
325	49011	26159
326	49157	26006
327	49285	25844
328	49437	25695
329	49580	25541
330	49737	25394
331	49880	25240
332	50029	25089
333	50193	24946
334	50348	24798
335	50491	24644
336	50641	24494
337	50802	24349
338	50937	24191
339	51076	24035
340	51233	23889
341	51386	23739
342	51529	23586
343	51712	23450
344	51864	23301
345	52029	23157
346	52161	22999
347	52285	22837
348	52429	22684
349	52562	22526
350	52726	22382
351	52867	22228
352	53033	22084
353	53183	21934
354	53321	21779
355	53456	21622
356	53607	21472
357	53752	21320
358	53902	21170
359	54038	21014
360	54148	20849
361	54267	20687
362	54407	20534
363	54542	20378
364	54693	20228
365	54907	20102
366	55050	19950
367	55172	19790
368	55299	19631
369	55441	19479
370	55577	19324
371	55697	19164
372	55842	19013
373	55984	18860
374	56129	18709
375	56294	18565
376	56440	18414
377	56574	18259
378	56725	18110
379	56858	17955
380	57023	17810
381	57168	17659
382	57288	17500
383	57453	17355
384	57617	17210
385	57756	17057
386	57918	16911
387	58071	16763
388	58203	16608
389	58343	16455
390	58484	16303
391	58643	16156
392	58781	16004
393	58922	15852
394	59072	15702
395	59215	15551
396	59351	15398
397	59487	15245
398	59624	15092
399	59765	14941
400	59921	14793
401	60074	14645
402	60233	14497
403	60405	14353
404	60544	14201
405	60709	14055
406	60845	13903
407	60984	13751
408	61118	13598
409	61273	13450
410	61405	13297
411	61546	13145
412	61726	13002
413	61845	12847
414	61987	12696
415	62143	12548
416	62284	12397
417	62424	12245
418	62565	12095
419	62710	11944
420	62861	11795
421	62985	11641
422	63125	11490
423	63274	11341
424	63428	11193
425	63582	11044
426	63724	10894
427	63861	10743
428	63995	10591
429	64123	10438
430	64309	10295
431	64429	10141
432	64576	9992
433	64723	9842
434	64860	9691
435	64988	9539
436	65130	9389
437	65286	9241
438	65422	9090
439	65550	8938
440	65691	8788
441	65824	8637
442	65961	8487
443	66091	8335
444	66212	8183
445	66358	8034
446	66515	7886
447	66658	7737
448	66771	7584
449	66920	7435
450	67057	7285
451	67171	7133
452	67305	6983
